CI,Affaire - Assistance,Innovation - Règlementation,Collectif - Individuel,Liberté créative - Cadre,Confort - Effort Physique,Conceptuel - Concrêt ,Thématique/Environnement - Identité/Projet de vie
Travailler à mon compte,0,-3.5,-0.5,1,2,-1,0.5
Travailler seul,0,0,0,0,1,0,6
"Piloter les coûts, la rentabilité",0,-3.5,-1.5,0,0,1,-6
Piloter un budget,2,-1.5,0,0,0,0,-6
Gérer un service de grande entreprise,0,-3,1,1,1,-1,-5
Gérer une salle de sport,-2.5,-1,0.5,-1.5,1,0.5,-2
Gérer un hôtel,-2.5,-5,0,2.5,1,1.5,-5.5
Gérer un salon de coiffure,1.5,-4,0.5,2,1,0.5,-2
Créer un projet entrepreneurial,0,-0.5,-2.5,2.5,-0.5,-1.5,-1.5
Prendre des risques,-1,0,0.5,-0.5,1,4.5,0.5
Vendre ou louer des maisons,2,-2.5,5.5,0,1,2.5,-5.5
"Gérer des actifs, un patrimoine",3,6.5,-2,-1.5,1,2,-7
Piloter des indicateurs statistiques,0.5,-2.5,1,0.5,-1,0,-5
"Etre leader, inspirer et motiver",-5,-1,-1,2.5,1.5,2.5,-5.5
"Organiser une équipe, des tâches",0,0,5,0.5,2,5,-5
"Coacher, faire progresser les autres",-4,1.5,0.5,5.5,1,1.5,-2.5
Atteindre des objectifs ambitieux,-1,-2,-6,0,0.5,0,1.5
Accompagner le changement,-1,0.5,1.5,-0.5,0,1,-7.5
Réaliser une veille de marché,-2.5,-3,0.5,0.5,0,-0.5,-5
Concevoir une offre de produits / services,-4.5,0,0.5,-0.5,0,1,-5
Travailler dans l’administration publique,-0.5,0,0,0,0,0,0
Donner des discours,-3,0,4,2.5,2,1,-1
Développer un territoire économique,-4.5,-2.5,1.5,-2,-1,4.5,-6.5
"Gérer et entretenir un site, une infrastructure",-4,2,0,1,-0.5,0,-4.5
"Se déplacer souvent, voyager",1,0,0.5,0,2,4,5.5
"Convaincre, influencer",0,5,0,-2,1,2.5,-2.5
"Concevoir des contenus, des supports de communication",-2.5,0,0,0.5,-0.5,-1,-1
Gérer le marketing et piloter l'image de marque,-1,0,-0.5,-1.5,-0.5,-2,-5
"Vendre, commercialiser",0,3,6,0.5,0,4.5,-3
Servir un client,-4,1,5.5,-1,-2.5,3,-8
Elaborer une stratégie commerciale,0,1,5.5,1,0.5,1.5,-1
Elaborer une offre commerciale / Répondre à un appel d'offre,-1,4,-2.5,-1.5,-2,0.5,-2.5
Gérer la relation client,2.5,3,4.5,-3.5,-0.5,4,0
"Améliorer la qualité de service, fidéliser les clients",1,0,6.5,-4.5,-1,-0.5,-2.5
Animer la communication interne,0,0,-0.5,1.5,-2,2.5,-3.5
"Accueillir, orienter, renseigner",1,3,3.5,0.5,-2,3,-3
S'occuper de la carrière de quelqu'un,-1,-1.5,4.5,0,-0.5,6,-5.5
Ecouter et dialoguer avec ses collaborateurs,-1,3,0,0,-1,3.5,6
Maintenir l’engagement et la satisfaction des collaborateurs,1,6,0.5,-1,-1,4,-0.5
Travailler en réseau,0.5,3,2,-3,2,2,1.5
Découvrir d'autres cultures,0.5,-1,0,0,0.5,1,0
Travailler en collectif,0,2,0,-1,-2.5,-1.5,10
Travailler dans le secteur social,0,-1,2,-1,0,6.5,-4.5
Travailler dans un bureau,-1,0,1,-3,-1,3,5.5
Assurer une gestion documentaire,2.5,4,1,0.5,-1,2.5,-2
Faire des inventaires et tenir des registres,3.5,3,-0.5,-1,-3,2,-4.5
Commander et gérer le matériel de bureaux,1,4,4,-1,-1.5,0.5,-4
Gérer la logistique,0,2.5,2,1,-2,1,-1
Tenir le registre des transactions financières d'une entreprise,1,1,0.5,0,0.5,4.5,-0.5
Assurer la gestion administrative,0,-2,-0.5,-1,-1,2.5,-2
Calculer le salaire des employés,-2,0,0,0,-1,1.5,0
Transférer des fonds entre banques,2.5,0,0,0,-2,1,-1
Elaborer et faire respecter des consignes,1,0,2,-0.5,-1,1,0
Respecter les règles,0,0,0,0,-2,4,6.5
Collecter et classer,0,0.5,-4,0,0.5,0,2
Gérer la comptabilité et les finances,1,0,-0.5,0,-1,3,-0.5
Gérer les finances publiques,-2,0,0,-1,-1.5,4.5,-2.5
Protéger les personnes et les biens,-1,0,4,0.5,-1,0,-1
Juger,0.5,0,2,0.5,-0.5,4,-1
Faire respecter les lois,-1.5,0,0,0,1,1,-1
Participer à des procès,0.5,1,2.5,-1,-1,0,6
Enquêter,-4.5,0,-0.5,0,-0.5,4,2.5
Rédiger des contrats,2,0,-1.5,0,-1,4,2
Négocier des contrats,0.5,9,-2.5,-1,0,2,2
Respecter un cadre juridique,1,1,0,-2.5,2.5,6.5,3.5
Assurer un transport,1.5,0.5,1.5,0.5,1,1,-0.5
Travailler sur des voitures,-2,0,-3.5,-3,1,1,-0.5
"Réparer, nettoyer, entretenir",1.5,0.5,0.5,0.5,-0.5,0,2.5
Poser du parquet ou du carrelage,0,0,0,-5.5,0,0,0
Poser des murs ou des toits,-2,3,0.5,-2,0,0,0
"Poser, réparer de la plomberie",-1.5,3.5,0.5,-1,0,0,-2
"Livrer, transporter, conduire, manoeuvrer",0,1,1,1,1,0,0
Porter ou manipuler des charges lourdes,0,1.5,0,2,0,0,4
"Faire un travail physique, fatiguant",3,0,0,0,0,0,8
Réparer et installer des serrures,-3,0.5,1,0.5,-1,0,-3
Se rendre sur des chantiers,3,-2,2,0,1,-1,3
Manipuler des matières premières,-1.5,1.5,0,1,1,-0.5,1
"Extraire, exploiter des ressources",3,-2,3,-3.5,0.5,-5,0
"Conditionner, manutentionner des produits",4,1,-5,1,1,0,1.5
Réparer des appareils électroménagers,-4,-0.5,1,-1.5,0.5,0,-1
Monter des meubles,-2.5,-4,-3.5,-1,0,-4,0.5
Maîtriser un savoir faire technique,-2.5,-3,-1,-2.5,4,4,-0.5
Utiliser une machine sur une chaîne de production,9,0,-1,0.5,0.5,1,-2
Assembler des pièces électroniques,1.5,-1,1,-1.5,1.5,0,3.5
Assurer la maintenance technique,7.5,1,0.5,0,0.5,0.5,2.5
"Cultiver, récolter",-3,4.5,-3,-1,-0.5,-1,1
Cuisiner,-5.5,3.5,3,0,2,0,1
Travailler dans l'art ou dans la musique,-3.5,0,2.5,0,0,-4,0
"Faire des tâches minutieuses, de précision",4,0,-0.5,0,0,-1,2.5
"Utiliser des machines, des outils, des logiciels",0.5,-1.5,-1,-3,0,-2.5,0.5
"Repérer les erreurs, observer, contrôler",2.5,0,0.5,0,1,1.5,-4.5
Maîtriser une documentation technique,4,0.5,0,-1,0,1.5,1
Contrôler la qualité,4.5,-3,-1,0.5,0,5,-0.5
Gérer les stocks et les approvisionnements,0,3.5,5,0,-2,0.5,-0.5
Travailler de mes mains,0,0,1,0,0.5,-5,1
"Construire, fabriquer",-1.5,1.5,0,0,0,0,1
Entretenir des jardins et des espaces verts,-4.5,-3.5,-3.5,-6,1,0,-3
Aménager un espace,0,-1,1.5,0,-0.5,-2,-1.5
Dessiner,-3,0,0,1,0,-4.5,0
Ecrire des chansons,-4.5,0,6.5,0,-1,-2,0
"Composer, mettre en scène",-3,0,2,0,-0.5,-1,-5.5
"Créer une oeuvre, designer",-5,-4,-3,0,1.5,-0.5,-2
"Faire des illustrations, du graphisme",-6,0,3.5,0.5,0.5,-0.5,-5.5
Ecrire des scénarios de films ou séries,-5,2,-4,-1,-1,-2.5,0
"Distraire, animer, divertir",-4,0,2,-5,-1,0.5,1
"Chanter, jouer d'un instrument",-3,-1,3.5,-1,-0.5,0,0
Exercer une activité artistique ou créative,0,-2.5,-3.5,0,0,-1,1
Travailler dans le spectacle ou pour la télévision,-2,4,-1,0,2.5,1.5,-2.5
"Réaliser une performance, une représentation artistique",-4,0.5,5,1,0.5,2.5,-5.5
Diriger une pièce de théâtre,-1.5,-0.5,1.5,1,1.5,1.5,-7
Se déplacer pour faire des reportages,0,0,4,2,2,6,0.5
Avoir des sensations fortes,0,-3.5,-1.5,-4,1,1,1
Jouer un rôle dans une série ou un film,-4.5,1,5,8.5,1.5,4.5,-1.5
Ecrire des livres,-5,1.5,0,0,-1,0.5,0
Traduire,-5,5.5,0,0,-3.5,8.5,-6.5
Développer les relations internationales,1,5,1,-5,-2,2,0
Pratiquer plusieurs langues,-2,1.5,1,-6,-5,-1,2
Se déplacer en tournées,-0.5,2,0,4,0,3,-1
Organiser des sorties pédagogiques avec des personnes handicapées,0,0,6.5,0,0,0,-9
Apprendre à des personnes handicapées à travailler en autonomie,0,0,3.5,1,-0.5,1,-9
Favoriser l'insertion professionnelle et sociale des personnes,-1,3,6,4,2,6,-5
Enseigner et éduquer,-4,3.5,6.5,2.5,-4,3,0
Enseigner dans une école primaire,-1,2.5,7.5,6,-3,3.5,-7
Enseigner à une classe de lycée,-1,2.5,6.5,4,-4,1.5,-7
"Aider, conseiller les autres",-5,2,1,3,-0.5,5,-1
M'occuper de la santé des autres,-1,-3,4.5,1.5,4,5,0
Travailler pour des associations,-3.5,0,1.5,0,1.5,1,-5
Réaliser un accompagnement psychologique,-1,2,6,1,1,3.5,-6.5
Apprendre la lecture à des enfants,-1,0,5.5,0,-5.5,5.5,-5.5
S'occuper des enfants dans une garderie,0,0,6.5,0,0,1.5,-4.5
Être avec des enfants ou adolescents,-1.5,4.5,2.5,1.5,2,5.5,-0.5
Travailler en magasin,-4,4,2,0.5,-0.5,2,-3.5
Travailler au domicile d'un particulier,0.5,4,6,2,-1.5,0,-2.5
Aider les personnes ayant des problèmes familiaux,1,4.5,7,0,1,4,-7
Aider les personnes ayant des problèmes d'addiction,0,4,6.5,-0.5,3,5,-7
Prendre soin des animaux,0,0,-1,-0.5,0.5,0,-1
Protéger l'environnement,-6,2,-2,-4,0,0,-1
Être dans la nature,0,0,0,0,0,0,10
Etudier le comportement animal,-0.5,-0.5,-2.5,0,-4,-1,-6.5
Cartographier,2,-1,-1,0,0,-1.5,1.5
Etudier des solutions pour réduire la pollution,-6.5,-6,-3.5,-1.5,-2.5,4.5,-4.5
Faire de la recherche scientifique,-3,-1.5,-3,0,-3.5,0,-1.5
Examiner au microscope,0,-7.5,0.5,0,4.5,-0.5,2
"Gérer une architechture logicielle, un système technique",0.5,0,-2.5,-0.5,-2,0,-2
Rechercher et analyser des informations,0,2,-1,0,-1.5,1,6
"Travailler avec les nombres, manipuler des données",-2.5,-1,0,1.5,-2.5,1.5,0
Etudier la génétique,-2,-5,-2.5,0,-1,-1,-4
Etudier la structure du corps humain,0,-5,-2.5,0,-2,-1,-2
Développer des nouveaux traitements médicaux,1,-2,0,-1,-3,-1,-7.5
Etudier le mouvement des planètes,0,-5,-2.5,-1,-1,-1,-7.5
"Faire des expériences, des tests",0,-5,3.5,0,-3.5,-3,6
Développer des programmes informatiques,4.5,7.5,0,-1.5,-3,1,-1
Résoudre des énigmes et des problèmes,0,0,1.5,1,0,2,1
Elaborer une feuille de calcul à l'aide d'un logiciel,1.5,-2.5,0.5,1,0,3,0.5
Modéliser / Prototyper,0,-1.5,1,-0.5,-0.5,-0.5,2
Utiliser les nouvelles technologies,0,2,0,-2,2,1,3
Assurer une veille technologique,2,-2,-2,-1.5,2,-0.5,2.5
