CI,Affaire - Assistance,Innovation - Règlementation,Collectif - Individuel,Liberté créative - Cadre,Confort - Effort Physique,Conceptuel - Concrêt ,Thématique/Environnement - Identité/Projet de vie
Travailler à mon compte,-8.75,-3.75,7.5,2.25,nan,nan,6
Travailler seul,nan,nan,10,nan,nan,nan,-8
"Piloter les coûts, la rentabilité",-10,7.75,5.25,7.75,-8.25,nan,-3
Piloter un budget,-7.25,7,6,7.75,-8.25,7.5,-3
Gérer un service de grande entreprise,-9.5,7.5,nan,6.5,-5.5,3.5,8
Gérer une salle de sport,-7,5.75,-2.75,2,nan,7.5,7
Gérer un hôtel,-8.25,nan,-3.25,6.5,nan,7.75,7
Gérer un salon de coiffure,-5.5,3,-0.75,3.5,nan,8,7
Créer un projet entrepreneurial,-9,-6,4,-2.75,3.5,3.25,8
Prendre des risques,nan,-7.5,nan,-8,nan,nan,-5
Vendre ou louer des maisons,-7.5,nan,5,5,nan,6.5,0
"Gérer des actifs, un patrimoine",-8.5,8.5,5.75,5.25,-7.75,nan,4
Piloter des indicateurs statistiques,nan,6,6,2.25,-9,-9,-10
"Etre leader, inspirer et motiver",nan,nan,nan,nan,nan,-5,8
"Organiser une équipe, des tâches",-3.5,1.5,nan,4.75,nan,5.5,-5
"Coacher, faire progresser les autres",6,-6.5,nan,nan,nan,-4,8
Atteindre des objectifs ambitieux,-8.75,nan,nan,nan,nan,nan,6
Accompagner le changement,3,nan,-3.75,-3.5,nan,-4.75,6
Réaliser une veille de marché,-7.25,nan,7,6.25,-7,nan,-5
Concevoir une offre de produits / services,-6.5,-3.25,-1.5,nan,-6.5,nan,-5
Travailler dans l’administration publique,5,6.75,nan,7.5,nan,nan,3
Donner des discours,nan,-7.5,6,-1.75,nan,-3,0
Développer un territoire économique,nan,-1.25,nan,5,-1.75,3,7
"Gérer et entretenir un site, une infrastructure",-6,6,-2.25,6.75,2.5,6.5,-2
"Se déplacer souvent, voyager",nan,nan,6.75,nan,6.5,7.5,5
"Convaincre, influencer",nan,nan,nan,-6,nan,-3,8
"Concevoir des contenus, des supports de communication",-4.75,-7.5,6.75,-6.25,-7.25,nan,-4
Gérer le marketing et piloter l'image de marque,-8.5,-7.25,5.25,-4.25,-6.75,nan,6
"Vendre, commercialiser",-10,-6.25,5.75,3.25,3.75,5.75,8
Servir un client,2,-3.5,5.5,3,nan,6.5,8
Elaborer une stratégie commerciale,-9,-6.25,5.75,-1.75,-6.25,-6.25,-5
Elaborer une offre commerciale / Répondre à un appel d'offre,-9.5,-3.75,4,7,-7.5,-6.5,-5
Gérer la relation client,nan,nan,6,nan,-0.75,4.5,-5
"Améliorer la qualité de service, fidéliser les clients",-3,-3,4.5,nan,-4,-2.25,-3
Animer la communication interne,nan,nan,nan,-3.5,-6.25,3.75,4
"Accueillir, orienter, renseigner",10,nan,nan,5.5,nan,4.25,8
S'occuper de la carrière de quelqu'un,7.5,nan,nan,nan,nan,5.5,8
Ecouter et dialoguer avec ses collaborateurs,4.25,nan,nan,-2.75,-6,1,5
Maintenir l’engagement et la satisfaction des collaborateurs,nan,nan,-5.75,-0.25,-6.25,1.25,5
Travailler en réseau,nan,nan,-8,nan,nan,4.5,-6
Découvrir d'autres cultures,nan,nan,nan,nan,nan,-4.75,10
Travailler en collectif,nan,nan,-10,nan,nan,nan,-10
Travailler dans le secteur social,10,nan,-5.25,6.25,nan,5.75,10
Travailler dans un bureau,nan,nan,nan,nan,-9,nan,-8
Assurer une gestion documentaire,nan,6.75,8.25,8.25,-8.25,5.5,-4
Faire des inventaires et tenir des registres,nan,7,7.5,8.25,nan,8,-8
Commander et gérer le matériel de bureaux,nan,4.25,nan,5.75,-4.25,6.75,-5
Gérer la logistique,nan,7,1.25,8.25,2.25,8.25,-4
Tenir le registre des transactions financières d'une entreprise,nan,9,8,9,-7.25,7.25,-8
Assurer la gestion administrative,nan,8,6.75,7.75,-9,7.5,-5
Calculer le salaire des employés,nan,9.5,7.75,10,-8.75,5.75,-5
Transférer des fonds entre banques,nan,10,nan,10,nan,nan,-3
Elaborer et faire respecter des consignes,nan,10,-3,7.5,-3.5,5,5
Respecter les règles,nan,10,nan,10,nan,6.5,-8
Collecter et classer,nan,8.5,6,8,nan,8,-6
Gérer la comptabilité et les finances,-5.5,10,nan,9.75,-7.25,nan,0
Gérer les finances publiques,nan,10,nan,9.25,-8,nan,0
Protéger les personnes et les biens,8,9.5,nan,7.25,6.5,7.25,10
Juger,nan,nan,7.5,nan,nan,nan,8
Faire respecter les lois,nan,10,nan,9.5,6,7.5,10
Participer à des procès,nan,nan,nan,7.5,nan,nan,-5
