CI,Affaire - Assistance,Innovation - Règlementation,Collectif - Individuel,Liberté créative - Cadre,Confort - Effort Physique,Conceptuel - Concrêt ,Thématique/Environnement - Identité/Projet de vie
Travailler à mon compte,-8.75,-3.75,7.5,2.25,#N/A,#N/A,6
Travailler seul,#N/A,#N/A,10,#N/A,#N/A,#N/A,-8
"Piloter les coûts, la rentabilité",-10,7.75,5.25,7.75,-8.25,#N/A,-3
Piloter un budget,-7.25,7,6,7.75,-8.25,7.5,-3
Gérer un service de grande entreprise,-9.5,7.5,#N/A,6.5,-5.5,3.5,8
Gérer une salle de sport,-7,5.75,-2.75,2,#N/A,7.5,7
Gérer un hôtel,-8.25,#N/A,-3.25,6.5,#N/A,7.75,7
Gérer un salon de coiffure,-5.5,3,-0.75,3.5,#N/A,8,7
Créer un projet entrepreneurial,-9,-6,4,-2.75,3.5,3.25,8
Prendre des risques,#N/A,-7.5,#N/A,-8,#N/A,#N/A,-5
Vendre ou louer des maisons,-7.5,#N/A,5,5,#N/A,6.5,0
"Gérer des actifs, un patrimoine",-8.5,8.5,5.75,5.25,-7.75,#N/A,4
Piloter des indicateurs statistiques,0,0,6,2.25,-9,-3,-10
"Etre leader, inspirer et motiver",0,#N/A,-3,-3,#N/A,-5,8
"Organiser une équipe, des tâches",-3.5,1.5,#N/A,4.75,#N/A,5.5,-5
"Coacher, faire progresser les autres",6,-6.5,#N/A,#N/A,#N/A,-4,8
Atteindre des objectifs ambitieux,-8.75,#N/A,#N/A,#N/A,#N/A,#N/A,6
Accompagner le changement,3,#N/A,-3.75,-3.5,#N/A,-4.75,6
Réaliser une veille de marché,-7.25,-10,7,6.25,-7,#N/A,-5
Concevoir une offre de produits / services,-3,-3.25,4,#N/A,-6,-6,-5
Travailler dans l’administration publique,5,6.75,#N/A,7.5,#N/A,#N/A,3
Donner des discours,#N/A,-7.5,6,-1.75,#N/A,-3,0
Développer un territoire économique,#N/A,-1.25,#N/A,5,-1.75,3,7
"Gérer et entretenir un site, une infrastructure",-6,6,-2.25,6.75,2.5,6.5,-2
"Se déplacer souvent, voyager",#N/A,#N/A,6.75,#N/A,6.5,7.5,5
"Convaincre, influencer",#N/A,#N/A,#N/A,-6,#N/A,-3,8
"Concevoir des contenus, des supports de communication",-4.75,-7.5,6.75,-6.25,-7.25,#N/A,-4
Gérer le marketing et piloter l'image de marque,-8.5,-7.25,5.25,-4.25,-6.75,#N/A,6
"Vendre, commercialiser",-10,-6.25,5.75,3.25,3.75,5.75,8
Servir un client,2,-3.5,5.5,3,#N/A,6.5,8
Elaborer une stratégie commerciale,-9,-6.25,5.75,-1.75,-6.25,-6.25,-5
Elaborer une offre commerciale / Répondre à un appel d'offre,-9.5,-3.75,4,7,-7.5,-6.5,-5
Gérer la relation client,-3,-3,6,#N/A,-0.75,4.5,-5
"Améliorer la qualité de service, fidéliser les clients",-3,-3,4.5,#N/A,-4,-2.25,-3
Animer la communication interne,#N/A,#N/A,#N/A,-3.5,-6.25,3.75,4
"Accueillir, orienter, renseigner",10,#N/A,#N/A,5.5,#N/A,4.25,8
S'occuper de la carrière de quelqu'un,7.5,#N/A,#N/A,#N/A,#N/A,5.5,8
Ecouter et dialoguer avec ses collaborateurs,0,#N/A,-3,-2.75,0,1,5
Maintenir l’engagement et la satisfaction des collaborateurs,#N/A,#N/A,-5.75,-0.25,-6.25,1.25,5
Travailler en réseau,#N/A,#N/A,-8,#N/A,#N/A,4.5,-6
Découvrir d'autres cultures,#N/A,#N/A,#N/A,#N/A,#N/A,-4.75,10
Travailler en collectif,#N/A,#N/A,-10,#N/A,#N/A,#N/A,-10
Travailler dans le secteur social,10,#N/A,-5.25,6.25,4,5.75,10
Travailler dans un bureau,#N/A,#N/A,#N/A,#N/A,-9,#N/A,-8
Assurer une gestion documentaire,#N/A,6.75,8.25,8.25,-8.25,5.5,-4
Faire des inventaires et tenir des registres,#N/A,7,7.5,8.25,#N/A,8,-8
Commander et gérer le matériel de bureaux,#N/A,4.25,#N/A,5.75,-4.25,6.75,-5
Gérer la logistique,#N/A,7,1.25,8.25,2.25,8.25,-4
