CI,Factor1,Factor2
Travailler à mon compte,-0.393927289730466,0.33273685121584
Travailler seul,-0.601883349938733,-0.137105697674195
"Piloter les coûts, la rentabilité",0.780019480739296,-1.43048692782168
Piloter un budget,1.10245413959321,0.308233241801614
Gérer un service de grande entreprise,0.837383594266601,-0.688098006247765
Gérer une salle de sport,-0.493910836567101,1.34707831172769
Gérer un hôtel,-0.303047357800582,1.24009913743953
Gérer un salon de coiffure,-0.253554514142302,1.2159665498408
Créer un projet entrepreneurial,-1.73116438068973,-0.126911356445687
Prendre des risques,-1.92921767651109,2.27311021941466
Vendre ou louer des maisons,0.243141575703896,0.38956457849606
"Gérer des actifs, un patrimoine",0.965985010754824,-1.71151078723676
Piloter des indicateurs statistiques,-0.0880843678378575,-2.32599594699058
"Etre leader, inspirer et motiver",-2.04147324006486,0.0280684389167959
"Organiser une équipe, des tâches",0.298664267880877,0.360422827958434
"Coacher, faire progresser les autres",-0.65978665993048,-0.871048418141455
Atteindre des objectifs ambitieux,-1.78717713738914,0.478356063063245
Accompagner le changement,-1.02905893305016,-0.494766543955693
Réaliser une veille de marché,-0.58637543170669,-1.30235540520196
Concevoir une offre de produits / services,-1.11125391175374,-0.461546617111635
Travailler dans l’administration publique,1.10593659610165,-1.0173135170527
Donner des discours,-1.98726063011204,-0.379027245209141
Développer un territoire économique,-0.151495298225491,0.00776832100615543
"Gérer et entretenir un site, une infrastructure",0.662084380074202,0.176345698548036
"Se déplacer souvent, voyager",-0.55985614862985,1.37875884229951
"Convaincre, influencer",-1.00070641861429,-0.509090710367544
"Concevoir des contenus, des supports de communication",-1.69561601331838,-1.12043751663876
Gérer le marketing et piloter l'image de marque,-2.11737636020035,-1.0924377629268
"Vendre, commercialiser",-0.752033347324893,0.898257994680475
Servir un client,-0.181378584388869,0.776982470335028
Elaborer une stratégie commerciale,-1.1654969957362,-0.814551736391101
Elaborer une offre commerciale / Répondre à un appel d'offre,-0.327529024534332,-1.63284266846713
Gérer la relation client,-0.119096734112921,0.373838863051749
"Améliorer la qualité de service, fidéliser les clients",-0.9178780464094,-0.943163541413407
Animer la communication interne,-1.12320005832075,0.683507715228492
"Accueillir, orienter, renseigner",1.03061551385718,-0.610653548306399
S'occuper de la carrière de quelqu'un,-0.503912182311981,0.959326962853475
Ecouter et dialoguer avec ses collaborateurs,0.0869048885388555,0.0684876848061992
Maintenir l’engagement et la satisfaction des collaborateurs,-0.0492575985602621,0.141104102863526
Travailler en réseau,0.0399712595466294,0.295199143738702
Découvrir d'autres cultures,-2.2365175519962,0.131291178976269
