CI,PC1,PC2,PC3,PC4,PC5,PC6
Travailler à mon compte,-0.187991779419328,-0.721017541649961,-1.29720292785341,1.14085566256167,0.988722874004767,0.0459943415414107
Travailler seul,-0.394784368827022,0.272791617970181,-1.42886554644498,-0.970053625015125,0.221770718268917,0.200202211871127
"Piloter les coûts, la rentabilité",-0.607804132306309,0.913706364029535,-0.519074731478824,2.24577434274097,0.0459314718279929,0.37969489935451
Piloter un budget,0.51727672697108,0.955020240477939,-0.698599804164614,1.13737124434138,0.0075855936509359,-0.890713459888945
Gérer un service de grande entreprise,0.0479240968242232,-0.00319596469979333,0.233036227383974,2.47961172740121,0.203629841110717,0.302390003629174
Gérer une salle de sport,0.133728426576861,-2.12644107909493,-0.0599283119559673,1.36095240761787,-0.331686504009746,-0.0444610194991052
Gérer un hôtel,0.143470161323904,-1.56711333945721,0.331441958289845,1.73035919775388,1.24300154601395,-0.62577536234108
Gérer un salon de coiffure,0.562227723117267,-1.02104694211799,0.220048165967867,0.149109075709183,0.894295747263608,-0.517043178289194
Créer un projet entrepreneurial,-1.92867670278932,-1.39658643169779,-0.270664313751762,0.675185687147363,0.37946847278919,0.300593098242729
Prendre des risques,-0.807040781899465,-2.43916870352514,-1.98160722663942,-0.242785992947509,-0.39074295631001,-0.571599362240944
Vendre ou louer des maisons,0.662949347006861,-0.31500218611355,-1.05078748096332,0.403489420376911,0.138505107052535,0.183660804180237
"Gérer des actifs, un patrimoine",-0.14781022305016,1.21871074536886,-0.446155088483518,1.18762736119643,-0.562729719728495,0.868335497645818
Piloter des indicateurs statistiques,-1.74929255713943,1.72945705190197,-0.917486812653965,0.46438818854676,-0.174547896327769,0.701823487124578
"Etre leader, inspirer et motiver",-2.38916731352786,-1.77883971915164,1.09605503594617,0.994346194797465,0.894307827934379,-0.132544814072577
"Organiser une équipe, des tâches",0.825106343568207,0.0235906737484199,-1.61215133322115,0.063922954571556,0.403424775722584,0.166537105811848
"Coacher, faire progresser les autres",-0.862886898250424,-0.186251361086294,1.23939660827921,0.0071894269473969,1.03958794428634,0.411550747632385
